stop_id,stop_code,stop_name,stop_desc,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,stop_lat,stop_lon
4747101,,Von-Holte-Str.,,,,,4747102P,,,51.912485,7.72274
4747102,,Von-Holte-Str.,,,,,4747102P,,,51.912433,7.722886
4747501,,Anton-Aulke-Str.,,,,,4747502P,,,51.908536,7.719146
4747502,,Anton-Aulke-Str.,,,,,4747502P,,,51.908304,7.719254
4748001,,Brandhoveweg,,,,,4748001P,,,51.911026,7.712521
4748002,,Brandhoveweg,,,,,4748001P,,,51.910939,7.712814
4748101,,Zumbuschstraße,,,,,4748102P,,,51.911117,7.721718
4748102,,Zumbuschstraße,,,,,4748102P,,,51.909896,7.721011
4749101,,Homannstraße,,,,,4749102P,,,51.924612,7.697464
4749102,,Homannstraße,,,,,4749102P,,,51.924764,7.697387
4750101,,Bredekamp,,,,,4750102P,,,51.917529,7.634035
4750102,,Bredekamp,,,,,4750102P,,,51.917861,7.633967
4751101,,Geistkamp,,,,,4751102P,,,51.910736,7.637278
4751102,,Geistkamp,,,,,4751102P,,,51.910245,7.637555
4752101,,Hülsebrockstr. B,,,,,4752101P,,,51.907277,7.639708
4752102,,Hülsebrockstr. A,,,,,4752101P,,,51.907617,7.638797
4752103,,Hülsebrockstr. C,,,,,4752101P,,,51.906715,7.639304
4753101,,Hohe Geest/Hiltruper Museum,,,,,4753102P,,,51.904439,7.641465
4753102,,Hohe Geest/Hiltruper Museum,,,,,4753102P,,,51.905153,7.640978
4754101,,Nimrodweg,,,,,4754101P,,,51.900892,7.635513
4754102,,Nimrodweg,,,,,4754101P,,,51.900889,7.635324
4755101,,Langestraße,,,,,4755101P,,,51.899871,7.632013
4755102,,Langestraße,,,,,4755101P,,,51.899969,7.631952
4756101,,Rückertstraße,,,,,4756101P,,,51.899131,7.628665
4756102,,Rückertstraße,,,,,4756101P,,,51.899022,7.627739
4757101,,Amelsbürener Str.,,,,,4757101P,,,51.898126,7.624148
4757102,,Amelsbürener Str.,,,,,4757101P,,,51.898273,7.624376
4757501,,Franz-Berding-Weg,,,,,4757501P,,,51.899969,7.624223
4757502,,Franz-Berding-Weg,,,,,4757501P,,,51.900481,7.624904
4758101,,Pater-Kolbe-Str. A,,,,,4758101P,,,51.882956,7.615868
